Device	Assay Name	AssayType	AssayTypeCode	Species	Name	UnitsSystem	Units	dblConversionFactor	nPrecision	VeryLow	Low	High	VeryHigh					
Catalyst Dx	albumin	ALB	ALB	Avian	Parrot Eclect	French	g/L			0.2	0.6	1.71	2.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Parrot Eclect	S.I.	g/L			0.2	0.6	1.71	2.2					
Catalyst Dx	albumin	ALB	ALB	Bovine	Beef Cattle	English	g/dL			0.9	2.5	3.6	4.5					
Catalyst Dx	albumin	ALB	ALB	Bovine	Beef Cattle	French	g/L			0.9	2.5	3.6	4.5					
Catalyst Dx	albumin	ALB	ALB	Bovine	Beef Cattle	S.I.	g/L			0.9	2.5	3.6	4.5					
Catalyst Dx	albumin	ALB	ALB	Bovine	Dairy Cow	English	g/dL			0.9	2.5	3.5	4.4					
Catalyst Dx	albumin	ALB	ALB	Bovine	Dairy Cow	French	g/L			0.9	2.5	3.5	4.4					
Catalyst Dx	albumin	ALB	ALB	Bovine	Dairy Cow	S.I.	g/L			0.9	2.5	3.5	4.4					
Catalyst Dx	albumin	ALB	ALB	Canine	Adult Canine	English	g/dL			0.5	2.3	4	4.5					
Catalyst Dx	albumin	ALB	ALB	Canine	Adult Canine	French	g/L			0.5	2.3	4	4.5					
Catalyst Dx	albumin	ALB	ALB	Canine	Adult Canine	S.I.	g/L			0.5	2.3	4	4.5					
Catalyst Dx	albumin	ALB	ALB	Canine	Geriatric Canine	English	g/dL			0.5	2.2	3.9	4.5					
Catalyst Dx	albumin	ALB	ALB	Canine	Geriatric Canine	French	g/L			0.5	2.2	3.9	4.5					
Catalyst Dx	albumin	ALB	ALB	Canine	Geriatric Canine	S.I.	g/L			0.5	2.2	3.9	4.5					
Catalyst Dx	albumin	ALB	ALB	Canine	Puppy	English	g/dL			0.5	2.1	3.6	4.5					
Catalyst Dx	albumin	ALB	ALB	Canine	Puppy	French	g/L			0.5	2.1	3.6	4.5					
Catalyst Dx	albumin	ALB	ALB	Canine	Puppy	S.I.	g/L			0.5	2.1	3.6	4.5					
Catalyst Dx	albumin	ALB	ALB	Control	Other Control	English	g/dL			-9999999	-9999999	9999999	9999999					
Catalyst Dx	albumin	ALB	ALB	Control	Other Control	French	g/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	albumin	ALB	ALB	Control	Other Control	S.I.	g/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	albumin	ALB	ALB	Equine	Adult Equine	English	g/dL			0.5	2.7	3.2	4.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Adult Equine	French	g/L			0.5	2.7	3.2	4.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Adult Equine	S.I.	g/L			0.5	2.7	3.2	4.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Foal	English	g/dL			0.5	3	4	4.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Foal	French	g/L			0.5	3	4	4.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Foal	S.I.	g/L			0.5	3	4	4.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Mare at Stud	English	g/dL			0.5	4	4.9	5.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Mare at Stud	French	g/L			0.5	4	4.9	5.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Mare at Stud	S.I.	g/L			0.5	4	4.9	5.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Yearling	English	g/dL			0.5	3.8	4.7	5.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Yearling	French	g/L			0.5	3.8	4.7	5.5					
Catalyst Dx	albumin	ALB	ALB	Equine	Yearling	S.I.	g/L			0.5	3.8	4.7	5.5					
Catalyst Dx	albumin	ALB	ALB	Feline	Adult Feline	English	g/dL			0.5	2.2	4	4.5					
Catalyst Dx	albumin	ALB	ALB	Feline	Adult Feline	French	g/L			0.5	2.2	4	4.5					
Catalyst Dx	albumin	ALB	ALB	Feline	Adult Feline	S.I.	g/L			0.5	2.2	4	4.5					
Catalyst Dx	albumin	ALB	ALB	Feline	Geriatric Feline	English	g/dL			0.5	2.3	3.9	4.5					
Catalyst Dx	albumin	ALB	ALB	Feline	Geriatric Feline	French	g/L			0.5	2.3	3.9	4.5					
Catalyst Dx	albumin	ALB	ALB	Feline	Geriatric Feline	S.I.	g/L			0.5	2.3	3.9	4.5					
Catalyst Dx	albumin	ALB	ALB	Feline	Kitten	English	g/dL			0.5	2.2	3.9	4.5					
Catalyst Dx	albumin	ALB	ALB	Feline	Kitten	French	g/L			0.5	2.2	3.9	4.5					
Catalyst Dx	albumin	ALB	ALB	Feline	Kitten	S.I.	g/L			0.5	2.2	3.9	4.5					
Catalyst Dx	albumin	ALB	ALB	Ferret	Ferret	English	g/dL			1	2.6	3.8	4.8					
Catalyst Dx	albumin	ALB	ALB	Ferret	Ferret	French	g/L			1	2.6	3.8	4.8					
Catalyst Dx	albumin	ALB	ALB	Ferret	Ferret	S.I.	g/L			1	2.6	3.8	4.8					
Catalyst Dx	albumin	ALB	ALB	Goat	Goat	English	g/dL			1.1	2.8	3.8	4.8					
Catalyst Dx	albumin	ALB	ALB	Goat	Goat	French	g/L			1.1	2.8	3.8	4.8					
Catalyst Dx	albumin	ALB	ALB	Goat	Goat	S.I.	g/L			1.1	2.8	3.8	4.8					
Catalyst Dx	albumin	ALB	ALB	Lizard	Lizard	English	g/dL			-9999999	-9999999	9999999	9999999					
Catalyst Dx	albumin	ALB	ALB	Lizard	Lizard	French	g/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	albumin	ALB	ALB	Lizard	Lizard	S.I.	g/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	albumin	ALB	ALB	Llama	Llama	English	g/dL			-9999999	1.7	3.7	9999999					
Catalyst Dx	albumin	ALB	ALB	Llama	Llama	French	g/L			-9999999	1.7	3.7	9999999					
